frame.number,frame.time_relative,frame.protocols,ip.src,ip.dst
2,1.276136604,eth:ethertype:data,,
172,1.381282234,eth:ethertype:data,,
233,1.426545472,eth:ethertype:data,,
254,1.444958371,eth:ethertype:data,,
342,1.510246643,eth:ethertype:data,,
402,1.545563328,eth:ethertype:data,,
531,1.652858226,eth:ethertype:data,,
598,1.697096934,eth:ethertype:data,,
622,1.722427848,eth:ethertype:data,,
705,1.784702945,eth:ethertype:data,,
1020,2.016453350,eth:ethertype:data,,
1220,2.178592989,eth:ethertype:data,,
1275,2.214453840,eth:ethertype:data,,
1652,2.498771227,eth:ethertype:data,,
1824,2.614493877,eth:ethertype:data,,
1847,2.640537342,eth:ethertype:data,,
1911,2.682526834,eth:ethertype:data,,
1931,2.702779783,eth:ethertype:data,,
2006,2.764498683,eth:ethertype:data,,
2074,2.802286929,eth:ethertype:data,,
2076,2.805658175,eth:ethertype:data,,
2100,2.832644087,eth:ethertype:data,,
2257,2.954020691,eth:ethertype:data,,
2295,3.010214752,eth:ethertype:data,,
2424,3.074436462,eth:ethertype:data,,
2524,3.164387939,eth:ethertype:data,,
2595,3.202721184,eth:ethertype:data,,
2628,3.240769638,eth:ethertype:data,,
2702,3.284569753,eth:ethertype:data,,
2796,3.356632132,eth:ethertype:data,,
3031,3.537548783,eth:ethertype:data,,
3032,3.542281123,eth:ethertype:data,,
3279,3.744439577,eth:ethertype:data,,
3452,3.864543786,eth:ethertype:data,,
4063,4.326996160,eth:ethertype:data,,
4155,4.394464689,eth:ethertype:data,,
4247,4.464787539,eth:ethertype:data,,
4268,4.488582881,eth:ethertype:data,,
4528,4.688698837,eth:ethertype:data,,
4556,4.744901128,eth:ethertype:data,,
4847,4.932752460,eth:ethertype:data,,
4873,4.959110872,eth:ethertype:data,,
4940,5.003597236,eth:ethertype:data,,
4958,5.022387687,eth:ethertype:data,,
5044,5.091529496,eth:ethertype:data,,
5104,5.131140917,eth:ethertype:data,,
5143,5.166343123,eth:ethertype:data,,
5204,5.206178450,eth:ethertype:data,,
5441,5.389397599,eth:ethertype:data,,
5500,5.426451106,eth:ethertype:data,,
5524,5.454120767,eth:ethertype:data,,
5611,5.507760560,eth:ethertype:data,,
5635,5.535194284,eth:ethertype:data,,
5708,5.580142106,eth:ethertype:data,,
5737,5.615013791,eth:ethertype:data,,
5837,5.675143213,eth:ethertype:data,,
5935,5.752240275,eth:ethertype:data,,
6058,5.853765908,eth:ethertype:data,,
6127,5.896588784,eth:ethertype:data,,
6151,5.923167405,eth:ethertype:data,,
6248,5.994484472,eth:ethertype:data,,
6319,6.038907764,eth:ethertype:data,,
6455,6.150339324,eth:ethertype:data,,
6653,6.299495589,eth:ethertype:data,,
6719,6.340825498,eth:ethertype:data,,
6749,6.372733488,eth:ethertype:data,,
6812,6.414506626,eth:ethertype:data,,
6816,6.441600662,eth:ethertype:data,,
6839,6.514347677,eth:ethertype:data,,
7196,6.749957661,eth:ethertype:data,,
7261,6.794678660,eth:ethertype:data,,
7360,6.869871141,eth:ethertype:data,,
7468,6.951663719,eth:ethertype:data,,
7471,6.954746789,eth:ethertype:data,,
7598,7.051075708,eth:ethertype:data,,
7706,7.124518868,eth:ethertype:data,,
7834,7.234587357,eth:ethertype:data,,
7938,7.301113700,eth:ethertype:data,,
7963,7.328537736,eth:ethertype:data,,
8073,7.411357137,eth:ethertype:data,,
8150,7.464566826,eth:ethertype:data,,
8239,7.533262177,eth:ethertype:data,,
8258,7.550215494,eth:ethertype:data,,
8362,7.628460524,eth:ethertype:data,,
